year,month,trip_type,count,avg_trip_distance,avg_minutes,avg_fare_per_mile,js_hour,js_wday
2022,1,fhvhv,14751591,4.632832865282132,21.276674404137104,6.212910853500052,0.07672892096462007,0.11402981321972071
2022,2,fhvhv,16019283,4.735295339685293,23.15246280789641,6.50763095098876,0.0850723068320966,0.09154582112869193
2022,3,fhvhv,18453548,4.9158497789693225,23.66461409841983,6.5970421132793104,0.08783189032254397,0.05368219328970165
2022,4,fhvhv,17752561,5.066052070121042,24.817526590482675,6.910217378049526,0.09266977706842702,0.0959316817417347
2022,5,fhvhv,18157335,5.168192548741326,25.88611447384763,7.207121789953594,0.0941433084470716,0.1021678559039172
2022,6,fhvhv,17780075,5.169061162227942,25.63918645450033,6.888745674130803,0.09945565579200277,0.05215625406655804
2022,7,fhvhv,17464619,5.16237918680046,23.933766002376984,6.4786075940364505,0.09991858209296975,0.11066378117886398
2022,8,fhvhv,17185687,5.203408142892393,24.127312651704482,6.467214733895932,0.08976208502140562,0.07918370248159355
2022,9,fhvhv,17793551,5.197236170621591,26.308593030886975,7.074717023925384,0.094967354945368,0.06746532382526849
2022,10,fhvhv,19306090,5.059421974983024,25.300057215106754,6.885944348027979,0.1000027805385017,0.1282286926682572
2022,11,fhvhv,18085896,5.035403907553156,24.85641763430836,6.814345840218265,0.08268728992258528,0.07144994856910275
2022,12,fhvhv,19665847,4.943219986660125,25.055423123482406,7.293722102414604,0.0859940609629785,0.08722071917448733
2023,1,fhvhv,18479031,4.870138037541028,22.693823531655994,6.372216854740573,0.08901194104098478,0.10657744697273924
2023,2,fhvhv,17960971,4.8148248411514025,22.912335721344522,6.663215890452648,0.0847793400763688,0.08231087490367879
2023,3,fhvhv,20413539,4.938423634285069,24.01222913707744,6.855352916669053,0.08994688888429725,0.046550958675478295
2023,4,fhvhv,19144903,5.020918498098424,24.04500047001195,7.058734428821844,0.09673561321225062,0.12560699203342093
2023,5,fhvhv,19847676,5.153654019694795,25.507237170571834,7.0561679613569845,0.09324340504488278,0.07471151833767618
2023,6,fhvhv,19366619,5.134284346896044,24.930534535566927,7.090006616063908,0.09657102240499485,0.060267883132425454
2023,7,fhvhv,19132131,5.134858704187217,23.959568471489106,6.757187268414788,0.09994726291173699,0.11940880509746335
2023,8,fhvhv,18322150,5.230753642885805,24.005732931633723,6.6419825957425305,0.09104045349262564,0.05312145941193947
2023,9,fhvhv,19851123,5.093623222877627,26.050615780443927,7.592049682367042,0.08721357609429066,0.0977433025378779
2023,10,fhvhv,20186330,5.121415119935135,25.45588654880145,7.3945264187055,0.0952271155583122,0.11146610067628333
2023,11,fhvhv,19269250,5.113381922129821,25.038333926679393,7.2507161138399665,0.08906863723248089,0.05145481097218468
2023,12,fhvhv,20516297,5.099172837232756,25.0363834248451,7.553774689886585,0.09456440601645139,0.10839003555501624
2024,1,fhvhv,19663930,4.838586508088658,22.633905142563066,7.2586669109348545,0.08537904522206126,0.08322634113838726
2024,2,fhvhv,19359148,4.930509447419889,23.398408053219434,7.18870555783425,0.08607326647819036,0.06494404963189926
2024,3,fhvhv,21280788,4.9504997448872725,24.1653424730638,7.498597181091415,0.08634552323140665,0.11283350664739511
2024,4,fhvhv,19733038,5.037789542340111,24.328901885254563,7.407216581259022,0.08893716890918302,0.08426610947789054
2024,5,fhvhv,20704538,5.145416235320009,25.548043053009266,7.596887943236317,0.0947798759262534,0.04276468664120541
2024,6,fhvhv,20123226,5.172980629298687,25.420903043859205,7.4520167139570805,0.0994725329752416,0.11395377653698721
2024,7,fhvhv,19182934,5.150312108616969,24.05591185327368,7.122265329088146,0.09459098043966117,0.08016471742525275
2024,8,fhvhv,19128392,5.1837404093349795,24.289788297869766,7.219980269326821,0.09078356402948033,0.08342207641736524
2024,9,fhvhv,19209788,5.204905641124205,26.077274147727262,7.653481607033732,0.09594824308043343,0.109930819937228
2024,10,fhvhv,20028282,5.197294825587142,25.35751240836998,7.492245122147105,0.09568483639051126,0.05584263705054779
2024,11,fhvhv,19987533,5.0691196451307965,24.900643821326103,7.632137701295718,0.09452375205806102,0.09613422241762228
2024,12,fhvhv,21068851,5.102386937379741,25.770175208731906,8.255659393257455,0.09119799509513696,0.10339967003133549
2025,1,fhvhv,20405666,4.850547711062212,22.6972639086288,7.433032081989503,0.07776665414827767,0.03098322992290943
2025,2,fhvhv,19339461,4.9024306570901865,23.451229797286846,7.623442184147336,0.07544270719134326,0.07111932667356838
2025,3,fhvhv,20536879,5.02804402407007,23.929750064100098,8.11848755674388,0.08967748273711162,0.11518302803028725
2025,4,fhvhv,19753983,5.021867669978264,24.026622778639947,7.516134392771677,0.08598991552437299,0.06875226598700393
2025,5,fhvhv,21091193,5.097998786649953,25.68504419198414,7.97416693932499,0.09039501053387045,0.07500518054268775
2025,6,fhvhv,19868009,5.128666503171003,25.38807704804912,7.911931341345479,0.09122264537682899,0.09980643558868299
2025,7,fhvhv,19653012,5.110924645494546,24.370466934873203,7.451792885352808,0.0869900951379176,0.05319274549851082
2025,8,fhvhv,19271461,5.1959393574259956,24.153160213609787,7.237829350602937,0.09279961484090937,0.10797454622602153
2022,1,green,62495,77.75863237058964,19.01938661759607,9.689932716328272,0.10887100850720885,0.07788696663746995
2022,2,green,69399,96.1549858067119,19.899951248096755,10.975874649374129,0.08704858894170298,0.04730496361180248
2022,3,green,78537,66.59459783286859,20.199422777374572,11.045061057970466,0.08099125405569907,0.051439934736458026
2022,4,green,76136,92.72713696543026,18.853557668733142,10.73921126821331,0.09969637571683261,0.06139840118925106
