trip_type,2022,2023,2024,2025
fhvhv,0.08781048227065809,0.08646751569218193,0.085906884446093,0.07775209480870897
green,0.061846808047343875,0.058519577379401,0.06444992857839404,0.06419431202463058
yellow,0.06438686093029752,0.05914866242126685,0.06702241181943352,0.06605615241209471
