year,month,count,avg_trip_distance,avg_minutes,avg_fare_per_mile,js_hour,js_wday,count_vs_same_month_2025_pct,avg_trip_distance_vs_same_month_2025_pct,avg_minutes_vs_same_month_2025_pct,avg_fare_per_mile_vs_same_month_2025_pct
2022,1,17278017.0,29.254738809661845,18.16942131352164,7.8469756732159555,0.08035300068797417,0.09041172122429271,-0.27795312826353125,1.7223769403980096,-0.0548340387137581,-0.361491552641026
2022,2,19068113.0,35.58080514325177,19.56869713041723,8.419702045000196,0.07367556477713834,0.06590702342662677,-0.16963837373237023,3.0791281116155114,-0.008890297974630602,-0.3265797061609448
2022,3,22159967.0,25.757245742183247,20.051028084923384,8.618304230119099,0.07200950827750537,0.050661436319784064,-0.1040568374897786,1.8498327898584868,-0.0025899637345447304,-0.3473571477841228
2022,4,21428617.0,34.48739141914837,20.330463080948363,8.76273189627754,0.0828714604151867,0.07471320487475684,-0.0987544175659937,2.4497971490525297,-0.023431531991462178,-0.3023243624262842
2022,5,21822521.0,43.54665646243521,21.46730460392396,8.805378367704789,0.07466340624148023,0.08867802680496058,-0.15214272723708902,2.9504733397707685,-0.01232957164902457,-0.3871561506945188
2022,6,21411917.0,38.571248215776116,155.91422821611917,9.05359338181164,0.07585143920534387,0.042449239485799796,-0.11668317288535207,4.091433063235969,6.498272067397155,-0.4016009378812117
2022,7,20703205.0,32.50450227538126,20.06486547092471,9.165072501592459,0.07515448123379877,0.07365909846547573,-0.12275224172019027,1.901599220676432,-0.04243707241188574,-0.3530376876452013
2022,8,20404293.0,21.626429766053363,20.25926308347694,9.817716864204229,0.072618136571221,0.08201810927370053,-0.10866592829642749,1.5069980756463082,-0.03558701852968868,-0.2954910723336026
2022,9,21046349.0,36.44632995795963,22.18909725777689,10.445813075935657,0.0721934897937229,0.0463009733447786,,,,
2022,10,23050823.0,34.5189937010558,21.35840303958793,10.348242828676618,0.07869595373438386,0.10152541443450447,,,,
2022,11,21400926.0,31.561167881672485,21.313747912541654,9.818554543971532,0.0750266833392182,0.0787339369639667,,,,
2022,12,23137835.0,16.6651275483451,21.006663338157168,10.919037633855972,0.0776607796174344,0.06111842037455117,,,,
2023,1,21614008.0,5.610777406049276,18.82002980755742,9.251035697396325,0.07502783359798111,0.08538032829160314,-0.09675243043880498,-0.47787429833794964,-0.020989647520699387,-0.24724318188358313
2023,2,20939735.0,7.45974580387648,18.89104729448795,9.366507160859788,0.07107251500457654,0.05342847435960607,-0.08813460418379067,-0.1447844226237362,-0.04321171050860288,-0.2508528246249044
2023,3,23889349.0,7.097268389928004,19.70821494179141,9.632004266938763,0.07417761590590623,0.029948811625825533,-0.0341366982464191,-0.21474413924162972,-0.0196427187391938,-0.27059215253027313
2023,4,22498545.0,7.309603924475965,19.887051686790837,9.84040483051946,0.07856394440322807,0.09267241097336937,-0.05375534536630616,-0.2688153628992835,-0.044730682146862634,-0.21652165153739275
2023,5,23430499.0,9.363610064252827,21.19975041514022,10.371794686532523,0.07289496684286277,0.0739966218283885,-0.08966892589476198,-0.15055035385438958,-0.024639238145061186,-0.2781354401290129
2023,6,22739403.0,10.644508159448884,20.851224456403415,10.726460843814621,0.07013337412223684,0.04176001174711106,-0.06191971001749603,0.40508288665484127,0.002783105181122422,-0.2910324289925
2023,7,22100582.0,11.027428247502785,20.303986196876927,10.501244226473062,0.0710007862081279,0.0962169430637423,-0.0635418034947191,-0.015607839863653366,-0.031025426382083103,-0.258717348260908
2023,8,21207008.0,12.336004796486838,20.53649471680836,10.501448406442288,0.06931643153526376,0.05869741976668896,-0.07360040412621816,0.4300252339616721,-0.022389806718115173,-0.24642722354915605
2023,9,22763316.0,11.300067163498895,21.944777553919625,11.855451520167607,0.06313527958760999,0.0638517258551662,,,,
2023,10,23774792.0,10.898207093621203,18.705789610019156,10.880660386214672,0.07281701589707133,0.09366515360642068,,,,
2023,11,22672990.0,9.067094580537725,21.37251768547335,11.27461362151257,0.07377070341946144,0.052489698265803374,,,,
2023,12,23957079.0,11.2768014672185,21.17383441319009,11.760997992921936,0.07879824142545953,0.074435422587674,,,,
2024,1,22685105.0,13.327293209422711,18.806078133130963,10.480180531988447,0.07300369956119243,0.07506299725755262,-0.05199137723597988,0.24020644816943934,-0.021715407991728955,-0.1472276609238918
2024,2,22420251.0,8.81909840331894,19.31271449539476,10.194652603526523,0.0735906827858382,0.05484879713478343,-0.023662379088667404,0.011057284152115458,-0.021855232299585296,-0.18461652025671416
2024,3,24920873.0,7.663579896199902,19.655285890687367,10.435145776285667,0.07617575216347723,0.07752373122556583,0.007568547739064252,-0.15208631021743813,-0.022275599535010748,-0.20977223350707513
2024,4,23303798.0,7.470145439450348,19.927529935427213,11.306529286652983,0.07524305614940634,0.08091138185859713,-0.019887984304613245,-0.25275628629554553,-0.04278632007792691,-0.09979101013435061
2024,5,24489374.0,8.373621393227184,21.306814182239993,12.040910128927138,0.06918281699918967,0.026614014873834937,-0.048529092889362316,-0.2403603225011349,-0.019713434991693982,-0.1619669928531955
2024,6,23717167.0,8.127539146450744,20.81386761695634,12.265172623266594,0.07236214816441584,0.08947425800661417,-0.02158350872608776,0.07284113030230371,0.000986529275529225,-0.18933096672615002
2024,7,22311674.0,7.182352533361139,20.007116010892883,11.890403085209647,0.07345770999470687,0.09179901794986613,-0.05459729544435678,-0.3588485577516928,-0.04519307105512803,-0.1606566479969203
2024,8,22159346.0,9.945469878810153,20.65299761805042,12.251258114866602,0.06854697588454726,0.05824329118071153,-0.03199880062160092,0.1529075357002619,-0.016843854238311827,-0.12086273861305627
