trip_type,2022,2023,2024,2025
fhvhv,0.09076950107588087,0.092279138497473,0.09197639865296835,0.08628551568632895
green,0.0832835429608263,0.06564502339220353,0.06630226052371606,0.07501061709046362
yellow,0.05364043193689477,0.059753015097769833,0.0602328289757042,0.06283159158174262
