year,trip_type,avg_fare_per_mile,avg_minutes,count,farepm_yoy_pct,minutes_yoy_pct
2022,fhvhv,6.778185033535055,24.50151237392916,17701340.25,,
2023,fhvhv,7.023827619755118,24.470640137510113,19374168.333333332,0.03624017122647838,-0.0012600135023459469
2024,fhvhv,7.4814883592051595,24.662234115689003,19955870.666666668,0.06515831028694818,0.007829545001775573
2025,fhvhv,7.658352091534826,24.212701867146492,19989958.0,0.023640180113634113,-0.0182275558018703
2022,green,12.138362410532743,20.090521263039097,70033.5,,
2023,green,13.168012678827262,19.618223693154825,65588.33333333333,0.08482612674351087,-0.023508477639809566
2024,green,14.764984943691594,19.637209995312947,55018.166666666664,0.12127663481309447,0.0009677890544568246
2025,green,14.768101824454886,20.836279510928932,49739.75,0.00021109948809150403,0.061061093500664354
2022,yellow,9.088733316523623,50.8312619961115,3304674.8333333335,,
2023,yellow,11.298815611366022,16.759815863949754,3192518.8333333335,0.24316725091101477,-0.670285269226016
2024,yellow,13.542363367866377,17.405747259085903,3430810.0,0.1985648614571125,0.03854048280599209
2025,yellow,18.1324893382312,16.59302766838739,3944554.75,0.3389457102632747,-0.046692599783342836
