iter	Passed	Remaining
400	31062	7668
401	31141	7591
402	31219	7514
403	31296	7436
404	31373	7359
405	31453	7282
406	31533	7205
407	31620	7130
408	31696	7052
409	31771	6974
410	31845	6895
411	31920	6817
412	31994	6739
413	32067	6661
414	32149	6584
415	32229	6507
416	32308	6430
417	32384	6352
418	32464	6275
419	32540	6198
420	32614	6119
421	32692	6042
422	32768	5964
423	32847	5887
424	32924	5810
425	33001	5732
426	33082	5655
427	33159	5578
428	33238	5501
429	33314	5423
430	33394	5346
431	33464	5267
432	33524	5187
433	33604	5110
434	33683	5033
435	33757	4955
436	33833	4877
437	33910	4800
438	33987	4722
439	34061	4644
440	34138	4567
441	34216	4489
442	34295	4412
443	34386	4337
444	34467	4260
445	34544	4182
446	34621	4104
447	34698	4027
448	34779	3950
449	34855	3872
450	34950	3797
451	35029	3719
452	35084	3640
453	35162	3562
454	35237	3485
455	35312	3407
456	35391	3330
457	35468	3252
458	35557	3176
459	35645	3099
460	35722	3022
461	35799	2944
462	35874	2866
463	35951	2789
464	36036	2712
465	36118	2635
466	36198	2557
467	36282	2480
468	36365	2403
469	36450	2326
470	36529	2249
471	36604	2171
472	36684	2094
473	36766	2016
474	36837	1938
475	36912	1861
476	36986	1783
477	37062	1705
478	37137	1628
479	37211	1550
480	37289	1472
481	37362	1395
482	37439	1317
483	37517	1240
484	37593	1162
485	37670	1085
486	37745	1007
487	37820	930
488	37906	852
489	37984	775
490	38060	697
491	38134	620
492	38217	542
493	38294	465
494	38385	387
495	38463	310
496	38541	232
497	38617	155
498	38682	77
499	38767	0
