iter	RMSE
236	0.7225105799
237	0.719555698
238	0.7181394475
239	0.7155003924
240	0.7150174622
241	0.7121476979
242	0.7109893664
243	0.7094580886
244	0.7082781043
245	0.7080779172
246	0.7077402746
247	0.7051226726
248	0.7010569732
249	0.6985297254
250	0.6962802225
251	0.6960115589
252	0.6940335814
253	0.6934070349
254	0.6905094613
255	0.6894712672
256	0.6873824524
257	0.6830573541
258	0.6804271409
259	0.6799532568
260	0.6786210192
261	0.6779230396
262	0.6767126472
263	0.6742936008
264	0.6740411365
265	0.67221515
266	0.6715088183
267	0.6711268342
268	0.6702111356
269	0.6693060416
270	0.6656100231
271	0.6650523295
272	0.6636925457
273	0.6610621421
274	0.6602528274
275	0.6588374756
276	0.6582620596
277	0.6580806679
278	0.6574203918
279	0.6564261038
280	0.6559603388
281	0.6529653604
282	0.6522297217
283	0.650150213
284	0.6464782154
285	0.6459511875
286	0.6456958235
287	0.6450426053
288	0.6434827313
289	0.6431711924
290	0.642566525
291	0.6416203532
292	0.6404231089
293	0.6397625771
294	0.639214205
295	0.6388526612
296	0.6380355222
297	0.6359751104
298	0.6342378608
299	0.6323221303
300	0.6321109457
301	0.6307343922
302	0.6304596356
303	0.6286321038
304	0.6284509646
305	0.6282760917
306	0.6273923345
307	0.6266756842
308	0.6256578635
309	0.6246093105
310	0.6237287079
311	0.6227511306
312	0.6225306185
313	0.6205231961
314	0.6198094608
315	0.6196066547
316	0.6192851746
317	0.6183030342
318	0.6168445566
319	0.6160375714
320	0.6152859005
321	0.6146787501
322	0.6139865449
323	0.6131199371
324	0.6129408825
325	0.6127725721
326	0.6111585468
327	0.6106716704
328	0.6105077626
329	0.6102433585
330	0.6093027676
331	0.6069468476
332	0.6059029322
333	0.6039512415
334	0.6038010697
335	0.6033682187
336	0.6027859407
337	0.6026509626
338	0.6020014169
339	0.6018531646
340	0.6006435644
341	0.5987693862
342	0.5982428862
343	0.5973736523
344	0.5972207535
345	0.5950750922
346	0.5945078242
347	0.5934692147
348	0.5933459147
349	0.5922748192
350	0.592136006
351	0.5916066679
352	0.5896879824
353	0.5887212706
354	0.5885803436
355	0.5864625277
356	0.5857161369
357	0.5849574111
358	0.5844110195
359	0.583727502
360	0.5835818714
361	0.581445858
362	0.580511241
363	0.5793424489
364	0.5791907658
365	0.5785468687
366	0.5783896006
367	0.5777674334
368	0.5766561606
369	0.5757256017
370	0.5740023127
371	0.5728821425
372	0.5724607183
373	0.5723404305
374	0.5718864224
375	0.5714093328
376	0.5712269686
377	0.5700779563
378	0.5682420902
379	0.5676470581
380	0.5670327478
381	0.566789726
382	0.5661505637
383	0.5656348071
384	0.5650352215
385	0.5637006128
386	0.5628433321
387	0.5613589574
388	0.5600925421
389	0.5595836411
390	0.5590039686
391	0.5578143395
392	0.5576946928
393	0.5575699482
394	0.5568547557
395	0.5558241158
396	0.5552139015
397	0.554858418
398	0.5547306091
399	0.5542486186
400	0.5539852648
401	0.5535465906
402	0.5531511438
403	0.5527530558
404	0.5524079392
405	0.5515080499
406	0.5502581025
407	0.5494370768
408	0.5484892339
409	0.5473781399
410	0.5464502519
411	0.5463251883
412	0.5459702492
413	0.5446624319
414	0.5445148401
415	0.5437705598
416	0.5426628876
417	0.5417899977
418	0.5412262388
419	0.5406678543
420	0.5399441802
421	0.5394457087
422	0.5390694535
423	0.5389104123
424	0.5381731438
425	0.5375693361
426	0.5371105742
427	0.5365998467
428	0.5347403291
429	0.5339762339
430	0.5336036531
431	0.5333383561
432	0.5329534788
433	0.5321691293
434	0.5313965764
435	0.5304093504
436	0.5303082105
437	0.5294614788
438	0.5285439391
439	0.5277353212
440	0.5261661987
441	0.5256169752
442	0.5240320763
443	0.5237728905
444	0.5223197192
445	0.5215518339
446	0.5207827349
447	0.5206916785
448	0.5205643235
449	0.5204553704
450	0.5201690663
451	0.5192947848
452	0.5179468786
453	0.5169688096
454	0.5168511388
455	0.5162796812
456	0.5152877058
457	0.5142245484
458	0.5131847522
459	0.5129609579
460	0.5128672247
461	0.5122153227
462	0.5112925892
463	0.5108714437
464	0.5104172598
465	0.5103301494
466	0.5099001155
467	0.50952774
468	0.5090183606
469	0.5074633027
470	0.5072030233
471	0.5066900007
472	0.5063847946
473	0.5058294997
474	0.5039710411
475	0.5038719618
476	0.5030685527
477	0.5029963316
478	0.5026602792
479	0.5018558273
480	0.5009033359
481	0.5006557905
482	0.5005862473
483	0.5004942872
484	0.5000035255
485	0.4995321793
486	0.4993360628
487	0.4987340492
488	0.4979303504
489	0.4973544851
490	0.4966475104
491	0.4959154506
492	0.4957722784
493	0.4950792065
494	0.494633809
495	0.4938385926
496	0.4930483685
497	0.4925993951
498	0.4922903421
499	0.4922011804
